SRR22712536	MN938384.1	1
SRR22712536	MN975262.1	780
SRR22712536	MN988668.1	7
SRR22712536	MN988669.1	4
SRR22712536	MN988713.1	177
SRR22712536	MN994467.1	149
SRR22712536	MN994468.1	466
SRR22712536	MN996528.1	431
SRR22712536	MN996529.1	408
SRR22712536	MN996530.1	3
SRR22712536	MN996531.1	375
SRR22712536	MN997409.1	439
SRR22712536	MT007544.1	316
SRR22712536	MT012098.1	1102
SRR22712536	MT019529.1	11
SRR22712536	MT019531.1	68
SRR22712536	MT019532.1	22
SRR22712536	MT019533.1	333
SRR22712536	MT027062.1	85
SRR22712536	MT027063.1	1
SRR22712536	MT027064.1	31
SRR22712536	MT039887.1	9
SRR22712536	MT039888.1	88
SRR22712536	MT039890.1	1150
SRR22712536	MT044257.1	880
SRR22712536	MT044258.1	12
SRR22712536	MT049951.1	1
SRR22712536	MT050493.1	662
SRR22712536	MT066156.1	442
SRR22712536	MT066176.1	934
SRR22712536	MT072688.1	156
SRR22712536	MT093571.1	117
SRR22712536	MT093631.2	1
SRR22712536	MT106054.1	943
SRR22712536	MT118835.1	6
SRR22712536	MT121215.1	305
SRR22712536	MT123290.1	154
SRR22712536	MT123291.2	19
SRR22712536	MT123292.2	69
SRR22712536	MT123293.2	102
SRR22712536	MT126808.1	206
SRR22712536	MT135041.1	172
SRR22712536	MT135043.1	56
SRR22712536	MT152824.1	98
SRR22712536	MT159705.2	869
SRR22712536	MT159706.2	323
SRR22712536	MT159707.2	832
SRR22712536	MT159708.2	5
SRR22712536	MT159709.2	288
SRR22712536	MT159712.2	610
SRR22712536	MT159713.2	2
SRR22712536	MT159715.2	2
SRR22712536	MT159716.2	31
SRR22712536	MT159717.2	46
SRR22712536	MT159718.2	18
SRR22712536	MT159720.2	780
SRR22712536	MT159722.2	2
SRR22712536	MT163716.1	81
SRR22712536	MT163717.1	217
SRR22712536	MT163719.1	8
SRR22712536	MT184908.2	40
SRR22712536	MT184910.1	1706
SRR22712536	MT184911.1	4753
SRR22712536	MT184912.1	193
SRR22712536	MT184913.1	191
SRR22712536	MT188339.1	203
SRR22712536	MT188340.1	1024
SRR22712536	MT188341.1	92
SRR22712536	MT192759.1	1
SRR22712536	MT192765.1	6915
SRR22712536	MT192772.1	11
SRR22712536	MT192773.1	2
SRR22712536	NC_045512.2	18
SRR22712536	no_rank	91350
SRR22191080	MN938384.1	1
SRR22191080	MN975262.1	739
SRR22191080	MN988668.1	12
SRR22191080	MN988669.1	10
SRR22191080	MN988713.1	132
SRR22191080	MN994467.1	173
SRR22191080	MN994468.1	457
SRR22191080	MN996528.1	486
SRR22191080	MN996529.1	347
SRR22191080	MN996530.1	5
SRR22191080	MN996531.1	533
SRR22191080	MN997409.1	373
SRR22191080	MT007544.1	308
SRR22191080	MT012098.1	1089
SRR22191080	MT019529.1	13
SRR22191080	MT019530.1	1
SRR22191080	MT019531.1	58
SRR22191080	MT019532.1	28
SRR22191080	MT019533.1	250
SRR22191080	MT020881.1	1
SRR22191080	MT027062.1	77
SRR22191080	MT027063.1	5
SRR22191080	MT027064.1	19
SRR22191080	MT039887.1	10
SRR22191080	MT039888.1	97
SRR22191080	MT039890.1	1327
SRR22191080	MT044257.1	905
SRR22191080	MT044258.1	19
SRR22191080	MT049951.1	3
SRR22191080	MT050493.1	704
SRR22191080	MT066156.1	428
SRR22191080	MT066176.1	989
SRR22191080	MT072688.1	112
SRR22191080	MT093571.1	119
SRR22191080	MT106054.1	797
SRR22191080	MT118835.1	15
SRR22191080	MT121215.1	299
SRR22191080	MT123290.1	143
SRR22191080	MT123291.2	16
SRR22191080	MT123292.2	47
SRR22191080	MT123293.2	87
SRR22191080	MT126808.1	348
SRR22191080	MT135041.1	154
SRR22191080	MT135042.1	1
SRR22191080	MT135043.1	73
SRR22191080	MT152824.1	80
SRR22191080	MT159705.2	773
SRR22191080	MT159706.2	345
SRR22191080	MT159707.2	825
SRR22191080	MT159708.2	13
SRR22191080	MT159709.2	251
SRR22191080	MT159712.2	588
SRR22191080	MT159716.2	23
SRR22191080	MT159717.2	56
SRR22191080	MT159718.2	14
SRR22191080	MT159720.2	823
SRR22191080	MT159722.2	3
SRR22191080	MT163716.1	56
SRR22191080	MT163717.1	64
SRR22191080	MT163719.1	4
SRR22191080	MT184908.2	50
SRR22191080	MT184910.1	1820
SRR22191080	MT184911.1	5231
SRR22191080	MT184912.1	187
SRR22191080	MT184913.1	142
SRR22191080	MT188339.1	344
SRR22191080	MT188340.1	1104
SRR22191080	MT188341.1	77
SRR22191080	MT192759.1	1
SRR22191080	MT192765.1	8019
SRR22191080	MT192772.1	7
SRR22191080	MT192773.1	2
SRR22191080	NC_045512.2	31
SRR22191080	no_rank	89815
SRR20667346	MN975262.1	596
SRR20667346	MN988668.1	10
SRR20667346	MN988669.1	9
SRR20667346	MN988713.1	150
SRR20667346	MN994467.1	139
SRR20667346	MN994468.1	431
SRR20667346	MN996527.1	1
SRR20667346	MN996528.1	371
SRR20667346	MN996529.1	369
SRR20667346	MN996530.1	4
SRR20667346	MN996531.1	312
SRR20667346	MN997409.1	434
SRR20667346	MT007544.1	306
SRR20667346	MT012098.1	1168
SRR20667346	MT019529.1	13
SRR20667346	MT019531.1	72
SRR20667346	MT019532.1	21
SRR20667346	MT019533.1	247
SRR20667346	MT020881.1	1
SRR20667346	MT027062.1	105
SRR20667346	MT027063.1	4
SRR20667346	MT027064.1	25
SRR20667346	MT039887.1	10
SRR20667346	MT039888.1	91
SRR20667346	MT039890.1	1427
SRR20667346	MT044257.1	872
SRR20667346	MT044258.1	25
SRR20667346	MT049951.1	2
SRR20667346	MT050493.1	766
SRR20667346	MT066156.1	362
SRR20667346	MT066176.1	902
SRR20667346	MT072688.1	139
